Indicator,Sex,Length_or_Height_cm,SD_neg3,SD_neg2,SD_neg1,Median,SD_pos1,SD_pos2,SD_pos3
Weight-for-length,Boy,45.0,1.9,2.0,2.2,2.4,2.7,3.0,3.3
Weight-for-length,Boy,45.5,1.9,2.1,2.3,2.5,2.8,3.1,3.4
Weight-for-length,Boy,46.0,2.0,2.2,2.4,2.6,2.9,3.1,3.5
Weight-for-length,Boy,46.5,2.1,2.3,2.5,2.7,3.0,3.2,3.6
Weight-for-length,Boy,47.0,2.1,2.3,2.5,2.8,3.0,3.3,3.7
Weight-for-length,Boy,47.5,2.2,2.4,2.6,2.9,3.1,3.4,3.8
Weight-for-length,Boy,48.0,2.3,2.5,2.7,2.9,3.2,3.6,3.9
Weight-for-length,Boy,48.5,2.3,2.6,2.8,3.0,3.3,3.7,4.0
Weight-for-length,Boy,49.0,2.4,2.6,2.9,3.1,3.4,3.8,4.2
Weight-for-length,Boy,49.5,2.5,2.7,3.0,3.2,3.5,3.9,4.3
Weight-for-length,Boy,50.0,2.6,2.8,3.0,3.3,3.6,4.0,4.4
Weight-for-length,Boy,50.5,2.7,2.9,3.1,3.4,3.8,4.1,4.5
Weight-for-length,Boy,51.0,2.7,3.0,3.2,3.5,3.9,4.2,4.7
Weight-for-length,Boy,51.5,2.8,3.1,3.3,3.6,4.0,4.4,4.8
Weight-for-length,Boy,52.0,2.9,3.2,3.5,3.8,4.1,4.5,5.0
Weight-for-length,Boy,52.5,3.0,3.3,3.6,3.9,4.2,4.6,5.1
Weight-for-length,Boy,53.0,3.1,3.4,3.7,4.0,4.4,4.8,5.3
Weight-for-length,Boy,53.5,3.2,3.5,3.8,4.1,4.5,4.9,5.4
Weight-for-length,Boy,54.0,3.3,3.6,3.9,4.3,4.7,5.1,5.6
Weight-for-length,Boy,54.5,3.4,3.7,4.0,4.4,4.8,5.3,5.8
Weight-for-length,Boy,55.0,3.6,3.8,4.2,4.5,5.0,5.4,6.0
Weight-for-length,Boy,55.5,3.7,4.0,4.3,4.7,5.1,5.6,6.1
Weight-for-length,Boy,56.0,3.8,4.1,4.4,4.8,5.3,5.8,6.3
Weight-for-length,Boy,56.5,3.9,4.2,4.6,5.0,5.4,5.9,6.5
Weight-for-length,Boy,57.0,4.0,4.3,4.7,5.1,5.6,6.1,6.7
Weight-for-length,Boy,57.5,4.1,4.5,4.9,5.3,5.7,6.3,6.9
Weight-for-length,Boy,58.0,4.3,4.6,5.0,5.4,5.9,6.4,7.1
Weight-for-length,Boy,58.5,4.4,4.7,5.1,5.6,6.1,6.6,7.2
Weight-for-length,Boy,59.0,4.5,4.8,5.3,5.7,6.2,6.8,7.4
Weight-for-length,Boy,59.5,4.6,5.0,5.4,5.9,6.4,7.0,7.6
Weight-for-length,Boy,60.0,4.7,5.1,5.5,6.0,6.5,7.1,7.8
Weight-for-length,Boy,60.5,4.8,5.2,5.6,6.1,6.7,7.3,8.0
Weight-for-length,Boy,61.0,4.9,5.3,5.8,6.3,6.8,7.4,8.1
