Indicator,Sex,Age_Months,SD_neg3,SD_neg2,SD_neg1,Median,SD_pos1,SD_pos2,SD_pos3
Weight-for-age,Boy,0,2.1,2.5,2.9,3.3,3.9,4.4,5.0
Weight-for-age,Boy,1,2.9,3.4,3.9,4.5,5.1,5.8,6.6
Weight-for-age,Boy,2,3.8,4.3,4.9,5.6,6.3,7.1,8.0
Weight-for-age,Boy,3,4.4,5.0,5.7,6.4,7.2,8.0,9.0
Weight-for-age,Boy,4,4.9,5.6,6.2,7.0,7.8,8.7,9.7
Weight-for-age,Boy,5,5.3,6.0,6.7,7.5,8.4,9.3,10.4
Weight-for-age,Boy,6,5.7,6.4,7.1,7.9,8.8,9.8,10.9
Weight-for-age,Boy,7,5.9,6.7,7.4,8.3,9.2,10.3,11.4
Weight-for-age,Boy,8,6.2,6.9,7.7,8.6,9.6,10.7,11.9
Weight-for-age,Boy,9,6.4,7.1,8.0,8.9,9.9,11.0,12.3
Weight-for-age,Boy,10,6.6,7.4,8.2,9.2,10.2,11.4,12.7
Weight-for-age,Boy,11,6.8,7.6,8.4,9.4,10.5,11.7,13.0
Weight-for-age,Boy,12,6.9,7.7,8.6,9.6,10.8,12.0,13.3
Weight-for-age,Boy,13,7.1,7.9,8.8,9.9,11.0,12.3,13.7
Weight-for-age,Boy,14,7.2,8.1,9.0,10.1,11.3,12.6,14.0
Weight-for-age,Boy,15,7.4,8.3,9.2,10.3,11.5,12.8,14.3
Weight-for-age,Boy,16,7.5,8.4,9.4,10.5,11.7,13.1,14.6
Weight-for-age,Boy,17,7.7,8.6,9.6,10.7,12.0,13.4,14.9
Weight-for-age,Boy,18,7.8,8.8,9.8,10.9,12.2,13.7,15.3
Weight-for-age,Boy,19,8.0,8.9,10.0,11.1,12.5,13.9,15.6
Weight-for-age,Boy,20,8.1,9.1,10.1,11.3,12.7,14.2,15.9
Weight-for-age,Boy,21,8.2,9.2,10.3,11.5,12.9,14.5,16.2
Weight-for-age,Boy,22,8.4,9.4,10.5,11.8,13.2,14.7,16.5
Weight-for-age,Boy,23,8.5,9.5,10.7,12.0,13.4,15.0,16.8
Weight-for-age,Boy,24,8.6,9.7,10.8,12.2,13.6,15.3,17.1
Weight-for-age,Boy,25,8.8,9.8,11.0,12.4,13.9,15.5,17.5
Weight-for-age,Boy,26,8.9,10.0,11.2,12.5,14.1,15.8,17.8
Weight-for-age,Boy,27,9.0,10.1,11.3,12.7,14.3,16.1,18.1
Weight-for-age,Boy,28,9.1,10.2,11.5,12.9,14.5,16.3,18.4
Weight-for-age,Boy,29,9.2,10.4,11.7,13.1,14.8,16.6,18.7
Weight-for-age,Boy,30,9.4,10.5,11.8,13.3,15.0,16.9,19.0
Weight-for-age,Boy,31,9.5,10.7,12.0,13.5,15.2,17.1,19.3
Weight-for-age,Boy,32,9.6,10.8,12.1,13.7,15.4,17.4,19.6
Weight-for-age,Boy,33,9.7,10.9,12.3,13.8,15.6,17.6,19.9
Weight-for-age,Boy,34,9.8,11.0,12.4,14.0,15.8,17.8,20.2
Weight-for-age,Boy,35,9.9,11.2,12.6,14.2,16.0,18.1,20.4
Weight-for-age,Boy,36,10.0,11.3,12.7,14.3,16.2,18.3,20.7
Weight-for-age,Boy,37,10.1,11.4,12.9,14.5,16.4,18.6,21.0
Weight-for-age,Boy,38,10.2,11.5,13.0,14.7,16.6,18.8,21.3
Weight-for-age,Boy,39,10.3,11.6,13.1,14.8,16.8,19.0,21.6
Weight-for-age,Boy,40,10.4,11.8,13.3,15.0,17.0,19.3,21.9
Weight-for-age,Boy,41,10.5,11.9,13.4,15.2,17.2,19.5,22.1
Weight-for-age,Boy,42,10.6,12.0,13.6,15.3,17.4,19.7,22.4
Weight-for-age,Boy,43,10.7,12.1,13.7,15.5,17.6,20.0,22.7
Weight-for-age,Boy,44,10.8,12.2,13.8,15.7,17.8,20.2,23.0
Weight-for-age,Boy,45,10.9,12.4,14.0,15.8,18.0,20.5,23.3
Weight-for-age,Boy,46,11.0,12.5,14.1,16.0,18.2,20.7,23.6
Weight-for-age,Boy,47,11.1,12.6,14.3,16.2,18.4,20.9,23.9
Weight-for-age,Boy,48,11.2,12.7,14.4,16.3,18.6,21.2,24.2
Weight-for-age,Boy,49,11.3,12.8,14.5,16.5,18.8,21.4,24.5
Weight-for-age,Boy,50,11.4,12.9,14.7,16.7,19.0,21.7,24.8
Weight-for-age,Boy,51,11.5,13.1,14.8,16.8,19.2,21.9,25.1
Weight-for-age,Boy,52,11.6,13.2,15.0,17.0,19.4,22.2,25.4
Weight-for-age,Boy,53,11.7,13.3,15.1,17.2,19.6,22.4,25.7
Weight-for-age,Boy,54,11.8,13.4,15.2,17.3,19.8,22.7,26.0
Weight-for-age,Boy,55,11.9,13.5,15.4,17.5,20.0,22.9,26.3
Weight-for-age,Boy,56,12.0,13.6,15.5,17.7,20.2,23.2,26.6
Weight-for-age,Boy,57,12.1,13.7,15.6,17.8,20.4,23.4,26.9
Weight-for-age,Boy,58,12.2,13.8,15.8,18.0,20.6,23.7,27.2
Weight-for-age,Boy,59,12.3,14.0,15.9,18.2,20.8,23.9,27.6
Weight-for-age,Boy,60,12.4,14.1,16.0,18.3,21.0,24.2,27.9
Weight-for-age,Girl,0,2.0,2.4,2.8,3.2,3.7,4.2,4.8
Weight-for-age,Girl,1,2.7,3.2,3.6,4.2,4.8,5.5,6.2
Weight-for-age,Girl,2,3.4,3.9,4.5,5.1,5.8,6.6,7.5
Weight-for-age,Girl,3,4.0,4.5,5.2,5.8,6.6,7.5,8.5
Weight-for-age,Girl,4,4.4,5.0,5.7,6.4,7.3,8.2,9.3
Weight-for-age,Girl,5,4.8,5.4,6.1,6.9,7.8,8.8,10.0
Weight-for-age,Girl,6,5.1,5.7,6.5,7.3,8.2,9.3,10.6
Weight-for-age,Girl,7,5.3,6.0,6.8,7.6,8.6,9.8,11.1
Weight-for-age,Girl,8,5.6,6.3,7.0,7.9,9.0,10.2,11.6
Weight-for-age,Girl,9,5.8,6.5,7.3,8.2,9.3,10.5,12.0
Weight-for-age,Girl,10,5.9,6.7,7.5,8.5,9.6,10.9,12.4
Weight-for-age,Girl,11,6.1,6.9,7.7,8.7,9.9,11.2,12.8
Weight-for-age,Girl,12,6.3,7.0,7.9,8.9,10.1,11.5,13.1
Weight-for-age,Girl,13,6.4,7.2,8.1,9.2,10.4,11.8,13.5
Weight-for-age,Girl,14,6.6,7.4,8.3,9.4,10.6,12.1,13.8
Weight-for-age,Girl,15,6.7,7.6,8.5,9.6,10.9,12.4,14.1
Weight-for-age,Girl,16,6.9,7.7,8.7,9.8,11.1,12.6,14.5
Weight-for-age,Girl,17,7.0,7.9,8.9,10.0,11.4,12.9,14.8
Weight-for-age,Girl,18,7.2,8.1,9.1,10.2,11.6,13.2,15.1
Weight-for-age,Girl,19,7.3,8.2,9.2,10.4,11.8,13.5,15.4
Weight-for-age,Girl,20,7.5,8.4,9.4,10.6,12.1,13.7,15.7
Weight-for-age,Girl,21,7.6,8.6,9.6,10.9,12.3,14.0,16.0
Weight-for-age,Girl,22,7.8,8.7,9.8,11.1,12.5,14.3,16.4
Weight-for-age,Girl,23,7.9,8.9,10.0,11.3,12.8,14.6,16.7
Weight-for-age,Girl,24,8.1,9.0,10.2,11.5,13.0,14.8,17.0
Weight-for-age,Girl,25,8.2,9.2,10.3,11.7,13.3,15.1,17.3
Weight-for-age,Girl,26,8.4,9.4,10.5,11.9,13.5,15.4,17.7
Weight-for-age,Girl,27,8.5,9.5,10.7,12.1,13.7,15.7,18.0
Weight-for-age,Girl,28,8.6,9.7,10.9,12.3,14.0,16.0,18.3
Weight-for-age,Girl,29,8.8,9.8,11.1,12.5,14.2,16.2,18.7
Weight-for-age,Girl,30,8.9,10.0,11.2,12.7,14.4,16.5,19.0
Weight-for-age,Girl,31,9.0,10.1,11.4,12.9,14.7,16.8,19.3
Weight-for-age,Girl,32,9.1,10.3,11.6,13.1,14.9,17.1,19.6
Weight-for-age,Girl,33,9.3,10.4,11.7,13.3,15.1,17.3,20.0
Weight-for-age,Girl,34,9.4,10.5,11.9,13.5,15.4,17.6,20.3
Weight-for-age,Girl,35,9.5,10.7,12.0,13.7,15.6,17.9,20.6
Weight-for-age,Girl,36,9.6,10.8,12.2,13.9,15.8,18.1,20.9
Weight-for-age,Girl,37,9.7,10.9,12.4,14.0,16.0,18.4,21.3
Weight-for-age,Girl,38,9.8,11.1,12.5,14.2,16.3,18.7,21.6
Weight-for-age,Girl,39,9.9,11.2,12.7,14.4,16.5,19.0,22.0
Weight-for-age,Girl,40,10.1,11.3,12.8,14.6,16.7,19.2,22.3
Weight-for-age,Girl,41,10.2,11.5,13.0,14.8,16.9,19.5,22.7
Weight-for-age,Girl,42,10.3,11.6,13.1,15.0,17.2,19.8,23.0
Weight-for-age,Girl,43,10.4,11.7,13.3,15.2,17.4,20.1,23.4
Weight-for-age,Girl,44,10.5,11.8,13.4,15.3,17.6,20.4,23.7
Weight-for-age,Girl,45,10.6,12.0,13.6,15.5,17.8,20.7,24.1
Weight-for-age,Girl,46,10.7,12.1,13.7,15.7,18.1,20.9,24.5
Weight-for-age,Girl,47,10.8,12.2,13.9,15.9,18.3,21.2,24.8
Weight-for-age,Girl,48,10.9,12.3,14.0,16.1,18.5,21.5,25.2
Weight-for-age,Girl,49,11.0,12.4,14.2,16.3,18.8,21.8,25.5
Weight-for-age,Girl,50,11.1,12.6,14.3,16.4,19.0,22.1,25.9
Weight-for-age,Girl,51,11.2,12.7,14.5,16.6,19.2,22.4,26.3
Weight-for-age,Girl,52,11.3,12.8,14.6,16.8,19.4,22.6,26.6
Weight-for-age,Girl,53,11.4,12.9,14.8,17.0,19.7,22.9,27.0
Weight-for-age,Girl,54,11.5,13.0,14.9,17.2,19.9,23.2,27.4
Weight-for-age,Girl,55,11.6,13.2,15.1,17.3,20.1,23.5,27.7
Weight-for-age,Girl,56,11.7,13.3,15.2,17.5,20.3,23.8,28.1
Weight-for-age,Girl,57,11.8,13.4,15.3,17.7,20.6,24.1,28.5
Weight-for-age,Girl,58,11.9,13.5,15.5,17.9,20.8,24.4,28.8
Weight-for-age,Girl,59,12.0,13.6,15.6,18.0,21.0,24.6,29.2
Weight-for-age,Girl,60,12.1,13.7,15.8,18.2,21.2,24.9,29.5
MUAC,Boy,3,10.7,11.6,12.5,13.5,14.5,15.6,16.7
MUAC,Boy,4,10.9,11.8,12.8,13.8,14.9,16.0,17.2
MUAC,Boy,5,11.1,12.0,13.0,14.1,15.2,16.3,17.5
MUAC,Boy,6,11.3,12.2,13.2,14.2,15.4,16.5,17.8
MUAC,Boy,7,11.4,12.3,13.3,14.4,15.5,16.7,18.0
MUAC,Boy,8,11.4,12.4,13.4,14.5,15.6,16.8,18.1
MUAC,Boy,9,11.5,12.4,13.4,14.5,15.7,16.9,18.2
MUAC,Boy,10,11.5,12.5,13.5,14.6,15.7,17.0,18.3
MUAC,Boy,11,11.6,12.5,13.5,14.6,15.8,17.0,18.3
MUAC,Boy,12,11.6,12.5,13.6,14.6,15.8,17.1,18.4
MUAC,Boy,13,11.6,12.6,13.6,14.7,15.8,17.1,18.4
MUAC,Boy,14,11.6,12.6,13.6,14.7,15.9,17.1,18.5
MUAC,Boy,15,11.7,12.6,13.6,14.7,15.9,17.2,18.5
MUAC,Boy,16,11.7,12.7,13.7,14.8,16.0,17.2,18.6
MUAC,Boy,17,11.7,12.7,13.7,14.8,16.0,17.3,18.6
MUAC,Boy,18,11.8,12.7,13.7,14.8,16.0,17.3,18.7
MUAC,Boy,19,11.8,12.8,13.8,14.9,16.1,17.4,18.8
MUAC,Boy,20,11.9,12.8,13.8,14.9,16.1,17.4,18.8
MUAC,Boy,21,11.9,12.8,13.9,15.0,16.2,17.5,18.9
MUAC,Boy,22,11.9,12.9,13.9,15.0,16.3,17.6,19.0
